No.,Country,Capital,Population
182,Puerto Rico,San Juan,3916632
183,Palestine,None,3800000
184,Portugal,Lisbon,10676000
185,Palau,Melekeok,19907
186,Paraguay,Asunción,6375830
187,Qatar,Doha,840926
188,Réunion,Saint-Denis,776948
189,Romania,Bucharest,21959278
190,Serbia,Belgrade,7344847
191,Russia,Moscow,140702000
192,Rwanda,Kigali,11055976
193,Saudi Arabia,Riyadh,25731776
194,Solomon Islands,Honiara,559198
195,Seychelles,Victoria,88340
196,Sudan,Khartoum,35000000
197,Sweden,Stockholm,9828655
198,Singapore,Singapore,4701069
199,Saint Helena,Jamestown,7460
200,Slovenia,Ljubljana,2007000
201,Svalbard and Jan Mayen,Longyearbyen,2550
202,Slovakia,Bratislava,5455000
203,Sierra Leone,Freetown,5245695
204,San Marino,San Marino,31477
205,Senegal,Dakar,12323252
206,Somalia,Mogadishu,10112453
207,Suriname,Paramaribo,492829
208,South Sudan,Juba,8260490
209,São Tomé and Príncipe,São Tomé,175808
210,El Salvador,San Salvador,6052064
211,Sint Maarten,Philipsburg,37429
212,Syria,Damascus,22198110
213,Swaziland,Mbabane,1354051
214,Turks and Caicos Islands,Cockburn Town,20556
215,Chad,N'Djamena,10543464
216,French Southern Territories,Port-aux-Français,140
217,Togo,Lomé,6587239
218,Thailand,Bangkok,67089500
219,Tajikistan,Dushanbe,7487489
220,Tokelau,None,1466
221,East Timor,Dili,1154625
222,Turkmenistan,Ashgabat,4940916
223,Tunisia,Tunis,10589025
224,Tonga,Nuku'alofa,122580
225,Turkey,Ankara,77804122
226,Trinidad and Tobago,Port of Spain,1228691
227,Tuvalu,Funafuti,10472
228,Taiwan,Taipei,22894384
229,Tanzania,Dodoma,41892895
230,Ukraine,Kiev,45415596
231,Uganda,Kampala,33398682
232,U.S. Minor Outlying Islands,None,0
233,United States,Washington,310232863
234,Uruguay,Montevideo,3477000
235,Uzbekistan,Tashkent,27865738
236,Vatican City,Vatican City,921
237,Saint Vincent and the Grenadines,Kingstown,104217
238,Venezuela,Caracas,27223228
239,British Virgin Islands,Road Town,21730
240,U.S. Virgin Islands,Charlotte Amalie,108708
241,Vietnam,Hanoi,89571130
242,Vanuatu,Port Vila,221552
243,Wallis and Futuna,Mata-Utu,16025
244,Samoa,Apia,192001
245,Kosovo,Pristina,1800000
246,Yemen,Sanaa,23495361
247,Mayotte,Mamoudzou,159042
248,South Africa,Pretoria,49000000
249,Zambia,Lusaka,13460305
250,Zimbabwe,Harare,11651858
